Datetime;Battery Level (%);5600 Pressure (Bar);5600 Temperature (°C)
2025-01-18 19:35:18.064;100;1.294;3.9
2025-01-18 19:35:18.164;100;1.294;3.9
2025-01-18 19:35:18.264;100;1.294;3.9
2025-01-18 19:35:18.364;100;1.294;3.9
2025-01-18 19:35:18.464;100;1.294;3.9
2025-01-18 19:35:18.564;100;1.294;3.9
2025-01-18 19:35:18.664;100;1.294;3.9
2025-01-18 19:35:18.764;100;1.294;3.9
2025-01-18 19:35:18.864;100;1.294;3.9
2025-01-18 19:35:18.964;100;1.294;3.9
2025-01-18 19:35:19.064;100;1.294;3.9
2025-01-18 19:35:19.163;100;1.294;3.9
2025-01-18 19:35:19.264;100;1.294;3.9
2025-01-18 19:35:19.364;100;1.294;3.9
2025-01-18 19:35:19.464;100;1.294;3.9
2025-01-18 19:35:19.564;100;1.294;3.9
2025-01-18 19:35:19.664;100;1.294;3.9
2025-01-18 19:35:19.764;100;1.294;3.9
2025-01-18 19:35:19.864;100;1.294;3.9
2025-01-18 19:35:19.964;100;1.294;3.9
2025-01-18 19:35:20.063;100;1.294;3.9
2025-01-18 19:35:20.163;100;1.294;3.9
2025-01-18 19:35:20.264;100;1.294;3.9
2025-01-18 19:35:20.364;100;1.294;3.9
2025-01-18 19:35:20.464;100;1.294;3.9
2025-01-18 19:35:20.564;100;1.294;3.9
2025-01-18 19:35:20.664;100;1.294;3.9
2025-01-18 19:35:20.764;100;1.294;3.9
2025-01-18 19:35:20.864;100;1.294;3.9
2025-01-18 19:35:20.964;100;1.294;3.9
2025-01-18 19:35:21.064;100;1.294;3.9
2025-01-18 19:35:21.164;100;1.294;3.9
2025-01-18 19:35:21.264;100;1.294;3.9
2025-01-18 19:35:21.364;100;1.294;3.9
2025-01-18 19:35:21.464;100;1.294;3.9
2025-01-18 19:35:21.564;100;1.294;3.9
2025-01-18 19:35:21.663;100;1.294;3.9
2025-01-18 19:35:21.764;100;1.294;3.9
2025-01-18 19:35:21.864;100;1.294;3.9
2025-01-18 19:35:21.964;100;1.294;3.9
2025-01-18 19:35:22.064;100;1.294;3.9
2025-01-18 19:35:22.164;100;1.294;3.9
2025-01-18 19:35:22.264;100;1.294;3.9
2025-01-18 19:35:22.364;100;1.294;3.9
2025-01-18 19:35:22.464;100;1.294;3.9
2025-01-18 19:35:22.564;100;1.294;3.9
2025-01-18 19:35:22.664;100;1.294;3.9
2025-01-18 19:35:22.764;100;1.294;3.9
